2017-12-11 17:55:49,659 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@c3f939: startup date [Mon Dec 11 17:55:49 IST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2017-12-11 17:55:50,512 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Software\Active MQ\apache-activemq-5.15.2-bin\apache-activemq-5.15.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-12-11 17:55:51,409 | INFO  | PListStore:[D:\Software\Active MQ\apache-activemq-5.15.2-bin\apache-activemq-5.15.2\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2017-12-11 17:55:51,579 | INFO  | Apache ActiveMQ 5.15.2 (localhost, ID:dev-c1gf-manoj-62530-1512995151420-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-12-11 17:55:51,597 | INFO  | Listening for connections at: tcp://dev-c1gf-manoj:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-12-11 17:55:51,598 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-12-11 17:55:51,600 | INFO  | Listening for connections at: amqp://dev-c1gf-manoj:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-12-11 17:55:51,600 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-12-11 17:55:51,607 | INFO  | Listening for connections at: stomp://dev-c1gf-manoj:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-12-11 17:55:51,607 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-12-11 17:55:51,609 | INFO  | Listening for connections at: mqtt://dev-c1gf-manoj:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-12-11 17:55:51,610 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
